seller_id,seller_city,seller_state,shipment_count,order_count,product_revenue,freight_value,total_value,average_shipment_value,freight_percentage,average_distance_km,average_delivery_days,late_delivery_rate,average_review_score,low_review_rate
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1132,1132,36696.76,17291.87,53988.63,47.69,32.03,664.64,13.32,10.42,4.03,14.56
77530e9772f57a62c906e1c21538ab82,curitiba,PR,312,312,45676.6,8274.71,53951.31,172.92,15.34,704.49,15.01,11.54,4.15,14.74
e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,57,57,51057.54,2856.22,53913.76,945.86,5.3,393.56,9.55,0.0,4.58,5.26
4e922959ae960d389249c378d1c939f5,jacarei,SP,412,412,45338.42,7147.18,52485.6,127.39,13.62,598.3,14.52,10.68,3.96,18.14
e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,645,645,42229.69,9981.61,52211.3,80.95,19.12,371.56,9.86,7.29,4.26,10.59
2bf6a2c1e71bbd29a4ad64e6d3c3629f,nova friburgo,RJ,30,30,50628.9,1000.59,51629.49,1720.98,1.94,794.51,13.65,10.0,4.17,13.33
4d6d651bd7684af3fffabd5f08d12e5a,jau,SP,363,363,42999.0,7786.76,50785.76,139.91,15.33,507.67,13.02,4.68,4.22,11.88
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,346,346,44653.04,5443.63,50096.67,144.79,10.87,610.58,13.3,9.54,4.13,14.2
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,521,521,39475.3,10083.84,49559.14,95.12,20.35,520.45,14.42,10.36,4.04,14.86
c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,278,278,43048.18,6079.63,49127.81,176.72,12.38,600.31,9.73,2.52,4.47,7.58
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,124,124,40353.24,8761.17,49114.41,396.08,17.84,531.03,12.28,8.06,4.25,9.84
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,524,524,39926.39,9058.06,48984.45,93.48,18.49,528.6,11.28,6.3,4.14,13.85
850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,186,186,45285.37,3097.35,48382.72,260.12,6.4,520.23,10.13,6.45,4.3,9.29
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,389,36097.98,12071.52,48169.5,123.83,25.06,1944.65,17.73,23.14,4.01,16.1
966cb4760537b1404caedd472cc610a5,diadema,SP,67,67,45928.26,1504.31,47432.57,707.95,3.17,679.22,10.04,2.99,4.13,11.94
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,149,149,44215.17,2656.38,46871.55,314.57,5.67,671.13,16.28,12.75,4.2,12.75
eeb6de78f79159600292e314a77cbd18,lages,SC,82,82,43510.84,2996.05,46506.89,567.16,6.44,995.16,12.16,3.66,4.44,6.1
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,77,77,39385.0,6764.82,46149.82,599.35,14.66,1090.49,24.69,22.08,3.39,35.53
ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,38,38,44212.5,1311.0,45523.5,1197.99,2.88,543.76,10.02,5.26,4.42,5.26
634964b17796e64304cadf1ad3050fb7,rio de janeiro,RJ,265,265,39114.1,5900.0,45014.1,169.86,13.11,687.46,14.67,10.19,4.06,15.09
834f3294fba9f932f56edc879193f925,araraquara,SP,66,66,39907.5,4299.92,44207.42,669.81,9.73,759.68,14.3,6.06,4.55,4.55
7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,316,316,37181.94,6843.74,44025.68,139.32,15.54,768.0,14.74,8.23,4.05,14.01
b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,SP,33,33,42829.0,920.93,43749.93,1325.76,2.1,279.83,6.67,3.03,4.09,18.18
2eb70248d66e0e3ef83659f71b244378,campinas,SP,187,187,38990.72,3056.01,42046.73,224.85,7.27,492.67,18.01,13.9,2.79,47.28
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,417,417,33005.32,8622.96,41628.28,99.83,20.71,484.45,13.23,11.75,3.67,23.91
7178f9f4dd81dcef02f62acdf8151e01,videira,SC,202,202,36795.4,4385.04,41180.44,203.86,10.65,816.93,15.75,4.95,4.06,14.43
7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,335,335,34107.44,6804.49,40911.93,122.13,16.63,662.18,11.3,4.78,4.43,6.57
dbc22125167c298ef99da25668e1011f,borda da mata,MG,394,394,32829.12,7787.43,40616.55,103.09,19.17,551.3,11.48,2.54,4.32,7.63
c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,260,260,36289.15,3901.41,40190.56,154.58,9.71,323.78,8.08,8.46,4.37,8.91
c3867b4666c7d76867627c2f7fb22e21,guara,SP,228,228,34666.9,4693.3,39360.2,172.63,11.92,620.36,15.4,11.84,4.08,15.49
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,463,463,29587.77,9696.16,39283.93,84.85,24.68,418.93,12.02,5.4,4.13,12.8
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,300,300,30849.22,7559.34,38408.56,128.03,19.68,504.57,16.26,14.0,3.85,20.61
87142160b41353c4e5fca2360caf6f92,porto alegre,RS,305,305,31095.98,7218.33,38314.31,125.62,18.84,970.61,10.93,5.57,4.4,6.25
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,238,31397.7,6853.91,38251.61,160.72,17.92,642.58,11.0,5.88,4.35,10.55
e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,209,209,33543.69,4538.73,38082.42,182.21,11.92,668.74,14.27,11.0,4.08,14.35
59417c56835dd8e2e72f91f809cd4092,limeira,SP,18,18,36459.0,1198.77,37657.77,2092.1,3.18,574.74,12.57,0.0,4.28,11.11
2528513dd95219a6013d4d05176e391a,osasco,SP,160,160,32660.2,3740.77,36400.97,227.51,10.28,432.56,10.65,5.0,3.97,17.2
88460e8ebdecbfecb5f9601833981930,maringa,PR,246,246,31320.4,4938.19,36258.59,147.39,13.62,664.69,17.8,19.51,3.43,30.61
76d5af76d0271110f9af36c92573f765,sao paulo,SP,128,128,31944.6,3787.06,35731.66,279.15,10.6,461.78,11.92,9.38,4.13,14.17
1554a68530182680ad5c8b042c3ab563,monte siao,MG,246,246,28979.64,6734.92,35714.56,145.18,18.86,555.78,14.21,6.91,4.33,10.25
9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,SP,151,151,32720.4,2823.42,35543.82,235.39,7.94,359.51,14.62,10.6,4.2,10.67
70a12e78e608ac31179aea7f8422044b,jacarei,SP,312,312,29963.53,5523.72,35487.25,113.74,15.57,626.11,14.71,10.9,3.81,19.68
5c243662ce92d84573bfaff24c3e3700,sao paulo,SP,98,98,32862.02,1775.64,34637.66,353.45,5.13,603.25,10.91,3.06,4.14,10.31
70eea00b476a314817cefde4aad4f89a,itatiba,SP,106,106,31424.75,2724.91,34149.66,322.17,7.98,604.36,13.4,7.55,4.41,6.67
7681ef142fd2c19048da7430856b5588,guarulhos,SP,58,58,31211.81,2862.86,34074.67,587.49,8.4,527.67,10.56,13.79,4.23,12.28
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,195,195,24487.03,8655.87,33142.9,169.96,26.12,812.3,13.41,6.67,4.06,14.06
e59aa562b9f8076dd550fcddf0e73491,curitiba,PR,69,69,30716.3,2160.07,32876.37,476.47,6.57,681.87,14.03,10.14,4.26,10.14
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,406,406,24639.57,8039.97,32679.54,80.49,24.6,513.03,13.15,10.34,3.86,19.05
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,SP,214,214,26833.61,5380.07,32213.68,150.53,16.7,539.91,12.69,8.88,3.81,21.7
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,163,163,28492.76,3598.18,32090.94,196.88,11.21,662.46,14.46,3.68,4.04,16.67
59b22a78efb79a4797979612b885db36,uberlandia,MG,125,125,27184.5,4897.57,32082.07,256.66,15.27,654.46,12.67,12.8,3.98,20.16
d23019c84ffae2d5ef2270367b8605fc,londrina,PR,39,39,29205.1,2749.74,31954.84,819.35,8.61,630.38,11.28,2.56,4.41,5.13
9f505651f4a6abe901a56cdc21508025,sao paulo,SP,393,393,25912.84,5949.75,31862.59,81.08,18.67,506.41,8.07,5.09,4.37,9.49
a3a38f4affed601eb87a97788c949667,joinville,SC,251,251,26294.62,5184.66,31479.28,125.42,16.47,688.15,12.55,4.78,4.4,8.03
8b321bb669392f5163d04c59e235e066,sao paulo,SP,930,930,17262.94,13924.0,31186.94,33.53,44.65,563.04,12.67,10.43,4.1,14.15
900ba814c251a692506d7834c1218441,salto,SP,86,86,28833.03,2334.43,31167.46,362.41,7.49,437.48,12.48,13.95,4.23,8.33
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,398,398,25579.16,5404.86,30984.02,77.85,17.44,362.17,9.18,10.8,4.09,13.13
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,514,514,20926.02,9444.21,30370.23,59.09,31.1,533.05,14.61,5.84,3.78,19.84
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,133,133,26376.0,3525.67,29901.67,224.82,11.79,1224.96,15.05,1.5,4.55,3.79
c003204e1ab016dfa150abc119207b24,cajamar,SP,195,195,24904.29,4714.17,29618.46,151.89,15.92,561.04,9.63,6.67,4.47,4.62
b32be1695eb7ec5f10f72d9610a12527,caxias do sul,RS,44,44,26575.0,2937.68,29512.68,670.74,9.95,878.9,12.28,4.55,4.14,11.63
7e1fb0a3ebfb01ffb3a7dae98bf3238d,franca,SP,155,155,26169.53,2883.09,29052.62,187.44,9.92,745.25,15.56,12.9,4.19,10.46
de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,161,161,25933.67,2646.19,28579.86,177.51,9.26,495.76,10.95,9.94,4.29,10.56
897060da8b9a21f655304d50fd935913,ribeirao preto,SP,304,304,21740.51,6517.82,28258.33,92.96,23.07,521.44,14.95,11.84,3.72,23.26
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,225,225,23655.98,4492.08,28148.06,125.1,15.96,543.08,13.89,6.67,3.81,20.89
a416b6a846a11724393025641d4edd5e,sao paulo,SP,157,157,24930.24,2935.56,27865.8,177.49,10.53,626.21,12.49,12.74,4.22,14.01
1c68394e931a64f90ea236c5ea590300,sarandi,PR,142,142,24832.75,2896.41,27729.16,195.28,10.45,654.39,16.05,3.52,3.9,16.9
f62d7bb4a613ec758a03342d46b580b2,vicosa,MG,32,32,24665.0,2125.59,26790.59,837.21,7.93,839.63,13.87,12.5,4.38,6.25
1a3df491d1c4f1589fc2b934ada68bf2,joinville,SC,160,160,22472.4,4078.23,26550.63,165.94,15.36,645.96,14.84,5.63,4.28,9.38
b94cc9f10ddc85e4ba73a6f7974e7101,macae,RJ,39,39,25346.1,1022.39,26368.49,676.12,3.88,711.77,10.58,7.69,4.3,13.51
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,PR,131,131,22369.25,3742.66,26111.91,199.33,14.33,718.51,14.5,4.58,3.43,30.77
7ad32824caee82087b3e2e5f33b1bf32,ibitinga,SP,147,147,22018.1,3477.7,25495.8,173.44,13.64,477.05,12.12,14.29,3.86,19.44
612170e34b97004b3ba37eae81836b4c,novo hamburgo,RS,107,107,23065.02,2307.06,25372.08,237.12,9.09,1034.32,10.99,1.87,4.43,7.48
f45122a9ab94eb4f3f8953578bc0c560,piracicaba,SP,184,184,21764.68,3279.19,25043.87,136.11,13.09,595.01,12.76,7.61,3.97,17.39
8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,151,151,21213.2,3756.6,24969.8,165.36,15.04,633.74,14.38,15.23,4.15,12.0
729f06993dac8e860d4f02d7088ca48a,limeira,SP,94,94,19885.18,4913.09,24798.27,263.81,19.81,454.34,11.75,11.7,4.22,10.75
2b3e4a2a3ea8e01938cabda2a3e5cc79,sao paulo,SP,52,52,23629.15,905.95,24535.1,471.83,3.69,545.53,8.78,0.0,4.37,7.69
b37c4c02bda3161a7546a4e6d222d5b2,sao paulo,SP,4,4,24075.0,412.6,24487.6,6121.9,1.68,677.47,18.67,25.0,2.25,75.0
744dac408745240a2c2528fb1b6028f3,colombo,PR,78,78,22322.6,1877.8,24200.4,310.26,7.76,953.29,11.03,1.28,4.58,3.85
40db9e9aa57f7bb151bcda6b0f9bdbb7,recife,PE,12,12,23168.0,655.99,23823.99,1985.33,2.75,1632.83,14.78,8.33,2.36,63.64
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,90,90,21648.67,2151.65,23800.32,264.45,9.04,1190.35,10.93,2.22,3.98,13.64
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,161,161,18446.92,5319.5,23766.42,147.62,22.38,478.15,11.83,11.8,4.03,13.75
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,sao paulo,SP,20,20,21940.8,1754.4,23695.2,1184.76,7.4,372.61,11.46,25.0,3.65,30.0
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,499,499,15107.24,8432.67,23539.91,47.17,35.82,699.25,14.64,3.61,4.22,9.27
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,92,92,21480.96,1964.71,23445.67,254.84,8.38,438.42,21.08,6.52,3.37,32.61
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,135,135,20260.0,3180.66,23440.66,173.63,13.57,264.03,9.62,8.89,4.3,11.19
7b0df942f46435babab05d49b744b2c4,braganca paulista,SP,32,32,22600.63,672.15,23272.78,727.27,2.89,448.65,11.09,9.38,4.39,6.45
59fb871bf6f4522a87ba567b42dafecf,sao paulo,SP,123,123,21178.6,2013.58,23192.18,188.55,8.68,703.28,12.0,6.5,4.28,7.32
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,156,156,19569.73,3524.29,23094.02,148.04,15.26,648.93,14.81,8.33,4.14,12.99
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,57,57,21235.98,1747.89,22983.87,403.23,7.6,1344.46,12.34,5.26,4.32,5.26
dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,RS,55,55,18988.4,3581.73,22570.13,410.37,15.87,1054.82,12.41,5.45,4.15,16.36
f457c46070d02cadd8a68551231220dd,maringa,PR,195,195,18798.3,3650.71,22449.01,115.12,16.26,641.86,14.55,6.15,3.88,20.1
48162d548f5b1b11b9d29d1e01f75a61,piracicaba,SP,66,66,20109.39,2042.44,22151.83,335.63,9.22,726.17,11.61,3.03,3.98,16.67
b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,14,14,21519.5,404.75,21924.25,1566.02,1.85,331.32,23.4,64.29,1.93,71.43
bfd27a966d91cfaafdb25d076585f0da,serra negra,SP,114,114,19225.0,2636.41,21861.41,191.77,12.06,573.67,12.42,5.26,4.32,10.62
44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,142,142,18380.64,3138.85,21519.49,151.55,14.59,930.77,13.15,3.52,3.74,20.57
128639473a139ac0f3e5f5ade55873a5,maringa,PR,527,527,11795.85,9679.69,21475.54,40.75,45.07,740.49,14.34,6.26,4.21,10.56
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,180,180,17228.99,4071.75,21300.74,118.34,19.12,454.76,12.98,5.56,4.07,13.48
76d64c4aca3a7baf218bf93ef7fa768d,curitiba,PR,64,64,16911.8,3543.49,20455.29,319.61,17.32,645.6,10.97,3.13,4.23,14.06
54a1852d1b8f10312c55e906355666ee,santa barbara d'oeste,SP,198,198,17056.46,3361.57,20418.03,103.12,16.46,578.76,11.5,9.6,4.36,8.12
fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,304,304,15900.48,4482.53,20383.01,67.05,21.99,603.31,11.31,6.25,4.48,7.26
7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,SP,214,214,16012.95,4317.57,20330.52,95.0,21.24,540.77,16.0,13.55,4.13,14.08
cd68562d3f44870c08922d380acae552,ribeirao preto,SP,122,122,18119.7,2160.16,20279.86,166.23,10.65,694.44,16.26,18.03,4.02,16.53
96493fab2fbb13a14d0c0e8772eef5c3,sao paulo,SP,63,63,18969.0,1212.23,20181.23,320.34,6.01,807.81,13.38,6.35,4.06,14.52
41b39e28db005d9731d9d485a83b4c38,santo andre,SP,187,187,16306.75,3757.77,20064.52,107.3,18.73,414.19,12.37,6.42,4.19,12.83
527801b552d0077ffd170872eb49683b,garca,SP,90,90,17942.8,2062.56,20005.36,222.28,10.31,651.59,13.12,10.0,4.47,7.87
1e8b33f18b4f7598d87f5cbee2282cc2,sao paulo,SP,122,122,17233.56,2690.51,19924.07,163.31,13.5,336.31,7.84,4.92,4.4,10.83
c33847515fa6305ce6feb1e818569f13,brusque,SC,114,114,15519.85,4374.41,19894.26,174.51,21.99,630.31,9.29,4.39,3.85,21.05
86ccac0b835037332a596a33b6949ee1,blumenau,SC,178,178,15894.34,3905.61,19799.95,111.24,19.73,660.63,12.06,3.37,4.23,11.86
9de4643a8dbde634fe55621059d92273,joinville,SC,72,72,17560.34,1722.07,19282.41,267.81,8.93,659.45,14.64,4.17,4.53,5.56
821fb029fc6e495ca4f08a35d51e53a5,sao paulo,SP,24,24,17851.62,1365.55,19217.17,800.72,7.11,772.93,16.79,37.5,3.48,30.43
d650b663c3b5f6fb392b6326366efa9a,cotia,SP,57,57,18335.9,852.11,19188.01,336.63,4.44,450.79,9.84,7.02,4.37,7.02
4b9750c8ad28220fe6702d4ecb7c898f,limeira,SP,217,217,15815.4,3358.45,19173.85,88.36,17.52,430.97,9.46,7.83,4.36,6.91
165fc07beebdcb6190fba8a06db2a449,maringa,PR,50,50,17481.4,1600.03,19081.43,381.63,8.39,826.31,12.98,12.0,3.8,22.0
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,SP,258,258,14474.57,4354.14,18828.71,72.98,23.13,480.36,12.87,10.08,3.98,18.11
c72de06d72748d1a0dfb2125be43ba63,guanambi,BA,21,21,17522.0,1211.18,18733.18,892.06,6.47,1030.76,9.7,0.0,4.48,4.76
79ebd9a61bac3eaf882805ed4ecfa12a,cascavel,PR,133,133,14783.09,3947.43,18730.52,140.83,21.07,858.02,15.38,6.02,4.06,13.53
94144541854e298c2d976cb893b81343,viamao,RS,68,68,17286.28,1429.37,18715.65,275.23,7.64,930.93,12.94,4.41,4.25,11.94
a888faf2d1baececa6baf9c3d603ee1f,umuarama,PR,53,53,17564.8,1107.95,18672.75,352.32,5.93,931.42,18.02,15.09,4.09,15.09
213b25e6f54661939f11710a6fddb871,salto,SP,152,152,15105.95,3381.01,18486.96,121.62,18.29,481.93,15.24,8.55,3.81,20.53
ef0ace09169ac090589d85746e3e036f,sao goncalo,RJ,128,128,16105.4,2299.38,18404.78,143.79,12.49,610.89,12.82,8.59,4.4,7.81
2a84855fd20af891be03bc5924d2b453,belo horizonte,MG,155,155,14989.0,3276.72,18265.72,117.84,17.94,525.73,8.58,3.23,4.38,7.79
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,SP,388,388,12089.22,5902.67,17991.89,46.37,32.81,630.87,11.35,5.41,3.96,16.54
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,106,106,15557.6,2397.9,17955.5,169.39,13.35,403.51,13.07,6.6,4.09,12.26
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,49,49,17000.0,947.55,17947.55,366.28,5.28,714.98,14.36,16.33,3.96,16.67
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,MG,118,118,15479.0,2300.71,17779.71,150.68,12.94,578.53,10.76,1.69,3.62,25.64
8ae520247981aa06bc94abddf5f46d34,navegantes,SC,65,65,16320.99,1445.35,17766.34,273.33,8.14,667.74,10.98,1.54,4.45,9.23
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,128,128,14802.53,2730.26,17532.79,136.97,15.57,591.56,10.73,6.25,4.38,5.51
4a3ccda38b2129705f3fb522db62ca31,marilia,SP,64,64,16169.09,1339.72,17508.81,273.58,7.65,669.39,13.32,9.38,3.94,20.31
66922902710d126a0e7d26b0e3805106,belo horizonte,MG,150,150,14267.3,3197.63,17464.93,116.43,18.31,618.16,11.32,7.33,4.5,5.37
d921b68bf747894be13a97ae52b0f386,formiga,MG,77,77,15645.8,1758.01,17403.81,226.02,10.1,614.53,9.98,1.3,4.56,5.19
1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,111,111,14420.5,2976.49,17396.99,156.73,17.11,972.74,14.55,6.31,4.25,10.0
5cf13accae3222c70a9cac40818ae839,patos de minas,MG,148,148,14293.3,3002.88,17296.18,116.87,17.36,651.75,10.7,3.38,4.48,7.48
e5a38146df062edaf55c38afa99e42dc,sao paulo,SP,120,120,15270.89,1885.54,17156.43,142.97,10.99,479.96,12.19,9.17,3.98,16.81
c3acdfac4e3e97ff87529454fbc03642,sao paulo,SP,12,12,16788.0,269.28,17057.28,1421.44,1.58,515.14,11.16,8.33,4.25,8.33
d94a40fd42351c259927028d163af842,baependi,MG,100,100,13674.8,3347.57,17022.37,170.22,19.67,490.19,13.94,4.0,4.21,10.2
2e90cb1677d35cfe24eef47d441b7c87,sao paulo,SP,127,127,13894.71,2887.45,16782.16,132.14,17.21,,12.45,13.39,4.12,14.17
6d66611d7c44cc30ce351abc49a68421,sao paulo,SP,164,164,13428.6,3216.66,16645.26,101.5,19.32,566.58,12.03,6.1,3.97,15.43
